task_acceptance_criteria	c	task_acceptance_criteria_confidence_check	CHECK ((confidence = ANY (ARRAY['high'::text, 'medium'::text, 'low'::text])))
task_attestations	c	attestation_channel_check	CHECK ((channel = ANY (ARRAY['whatsapp'::text, 'app'::text, 'email'::text])))
task_attestations	c	attestation_status_check	CHECK ((status = ANY (ARRAY['pending'::text, 'sent'::text, 'answered'::text, 'expired'::text, 'escalated'::text])))
team_member_roles	u	team_member_roles_team_member_id_role_id_key	UNIQUE (team_member_id, role_id)
teams	c	teams_team_type_check	CHECK ((team_type = ANY (ARRAY['operations'::text, 'sales'::text, 'partners'::text, 'services'::text])))
user_evolution_instances	u	user_evolution_instances_user_id_project_id_key	UNIQUE (user_id, project_id)
users	u	ikigaigm_users_email_uk	UNIQUE (email)
whatsapp_messages	u	whatsapp_messages_project_id_evolution_message_id_key	UNIQUE (project_id, evolution_message_id)
worker_runs	c	worker_runs_status_check	CHECK ((status = ANY (ARRAY['pending'::text, 'running'::text, 'success'::text, 'error'::text])))
workers	c	workers_status_check	CHECK ((status = ANY (ARRAY['active'::text, 'paused'::text, 'error'::text])))
workers	c	workers_worker_type_check	CHECK ((worker_type = ANY (ARRAY['gemini_structured'::text, 'ax_llm'::text, 'graph'::text])))
