admin	0
Admin	1
CEO	0
Cliente	2
Closer	7
Community	0
Confirmer	0
Contenido	3
COO	0
Copy	2
Director Comercial	1
Director Creativo	0
Diseño	2
Editor	1
Ejecutivo	2
Estratega	1
Líder de servicio	1
member	0
Operaciones	1
Project Manager	1
Setter	2
Technology	3
